,primaryTitle,isAdult,startYear,genres,category,primaryName
0,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",cinematographer,Orrie Perry
1,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",actress,Elizabeth Tait
2,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",actor,John Tait
3,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",actor,Nicholas Brierley
4,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",actor,Norman Campbell
5,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",director,Charles Tait
6,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",producer,W.A. Gibson
7,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",producer,Millard Johnson
8,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",producer,Nevin Tait
9,The Story of the Kelly Gang,0,1906,"Action,Adventure,Biography",composer,Eric Chapus
10,The Prodigal Son,0,1907,Drama,actor,Georges Wague
11,The Prodigal Son,0,1907,Drama,actor,Henri Gouget
12,The Prodigal Son,0,1907,Drama,actress,Christiane Mandelys
13,The Prodigal Son,0,1907,Drama,actress,Gilberte Sergy
14,The Prodigal Son,0,1907,Drama,director,Michel Carré
15,Robbery Under Arms,0,1907,Drama,actor,Jim Gerald
16,Robbery Under Arms,0,1907,Drama,actor,George Merriman
17,Robbery Under Arms,0,1907,Drama,actor,Lance Vane
18,Robbery Under Arms,0,1907,Drama,actor,William Duff
19,Robbery Under Arms,0,1907,Drama,director,Charles MacMahon
20,Robbery Under Arms,0,1907,Drama,writer,Rolf Boldrewood
21,Robbery Under Arms,0,1907,Drama,cinematographer,Byers Coates
22,Robbery Under Arms,0,1907,Drama,actor,Arthur Guest
23,Robbery Under Arms,0,1907,Drama,actress,Rhoda Dendron
24,Hamlet,0,1908,Drama,actress,Fernanda Negri Pouget
25,Hamlet,0,1908,Drama,director,Mario Caserini
26,Hamlet,0,1908,Drama,writer,William Shakespeare
27,Hamlet,0,1908,Drama,producer,Giuseppe de Liguoro
28,Don Quijote,0,1908,Drama,director,Narciso Cuyàs
29,Don Quijote,0,1908,Drama,writer,Miguel de Cervantes y Saavedra
30,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",actor,L. Frank Baum
31,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",actor,Frank Burns
32,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",actor,George E. Wilson
33,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",actor,Wallace Illington
34,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",director,Francis Boggs
35,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",director,Otis Turner
36,The Fairylogue and Radio-Plays,0,1908,"Adventure,Fantasy",composer,Nathaniel D. Mann
37,El pastorcito de Torrente,0,1908,Drama,director,Antonio Cuesta
38,El pastorcito de Torrente,0,1908,Drama,cinematographer,Ángel Huerta
39,Andreas Hofer,0,1909,Drama,actress,Henny Porten
40,Andreas Hofer,0,1909,Drama,director,Rudolf Biebrach
41,Andreas Hofer,0,1909,Drama,director,Franz Porten
42,Andreas Hofer,0,1909,Drama,cinematographer,Karl Hasselmann
43,"Hamlet, Prince of Denmark",0,1910,Drama,actor,Jean Mounet-Sully
44,"Hamlet, Prince of Denmark",0,1910,Drama,director,Gérard Bourgeois
45,"Hamlet, Prince of Denmark",0,1910,Drama,writer,William Shakespeare
46,Locura de amor,0,1909,Drama,actor,José Argelagués
47,Locura de amor,0,1909,Drama,actor,Joaquín Carrasco
48,Locura de amor,0,1909,Drama,actor,José Durany
49,Locura de amor,0,1909,Drama,actress,Elvira Fremont
50,Locura de amor,0,1909,Drama,director,Ricardo de Baños
51,Locura de amor,0,1909,Drama,director,Alberto Marro
52,Locura de amor,0,1909,Drama,writer,Manuel Tamayo y Baus
53,Salome Mad,0,1909,Comedy,director,Theo Frenkel
54,Salome Mad,0,1909,Comedy,producer,Cecil M. Hepworth
55,Gøngehøvdingen,0,1909,"Drama,War",actress,Maggi Zinn
56,Gøngehøvdingen,0,1909,"Drama,War",actor,Aage Brandt
57,Gøngehøvdingen,0,1909,"Drama,War",actor,N. Eiberg
58,Gøngehøvdingen,0,1909,"Drama,War",actress,Solborg Fjeldsøe Rasmussen
59,Gøngehøvdingen,0,1909,"Drama,War",actor,Jørgen Lund
60,Gøngehøvdingen,0,1909,"Drama,War",director,Carl Alstrup
61,Gøngehøvdingen,0,1909,"Drama,War",cinematographer,Mads Anton Madsen
62,Gøngehøvdingen,0,1909,"Drama,War",actor,Carl Johan Lundkvist
63,Gøngehøvdingen,0,1909,"Drama,War",actor,Kaj Rasmussen
64,Gøngehøvdingen,0,1909,"Drama,War",actress,Emilie Sannom
65,O Terremoto de Benavente,0,1909,Documentary,director,Francisco Stella
66,Amleto,0,1910,Drama,actor,Dante Cappelli
67,Amleto,0,1910,Drama,actress,Maria Caserini
68,Amleto,0,1910,Drama,director,Mario Caserini
69,Amleto,0,1910,Drama,writer,William Shakespeare
70,Ansigttyven I,0,1910,Crime,actress,Marie Niedermann
71,Ansigttyven I,0,1910,Crime,actor,Philip Bech
72,Ansigttyven I,0,1910,Crime,actor,Aage Bjørnbak
73,Ansigttyven I,0,1910,Crime,actor,Alfred Cohn
74,Ansigttyven I,0,1910,Crime,actor,Aage Fønss
75,Ansigttyven I,0,1910,Crime,director,Gunnar Helsengreen
76,Ansigttyven I,0,1910,Crime,writer,Aage Garde
77,Ansigttyven I,0,1910,Crime,actor,Axel Garde
78,Ansigttyven I,0,1910,Crime,actor,Peter Malberg
79,Ansigttyven I,0,1910,Crime,actor,Victor Neumann
80,O Centenário da Guerra Peninsular,0,1910,Documentary,,
81,Corrida da Rampa,0,1910,Documentary,,
82,Camille,0,1912,"Drama,Romance",producer,Louis Nalpas
83,Camille,0,1912,"Drama,Romance",actress,Sarah Bernhardt
84,Camille,0,1912,"Drama,Romance",actor,Lou Tellegen
85,Camille,0,1912,"Drama,Romance",actor,Paul Capellani
86,Camille,0,1912,"Drama,Romance",actor,Jean Chameroy
87,Camille,0,1912,"Drama,Romance",director,André Calmettes
88,Camille,0,1912,"Drama,Romance",director,Louis Mercanton
89,Camille,0,1912,"Drama,Romance",director,Henri Pouctal
90,Camille,0,1912,"Drama,Romance",writer,Alexandre Dumas fils
91,Camille,0,1912,"Drama,Romance",producer,Charles Delac
92,Don Juan de Serrallonga,0,1910,"Adventure,Drama",actress,Dolores Puchol
93,Don Juan de Serrallonga,0,1910,"Adventure,Drama",actor,Cecilio Rodríguez de la Vega
94,Don Juan de Serrallonga,0,1910,"Adventure,Drama",director,Ricardo de Baños
95,Don Juan de Serrallonga,0,1910,"Adventure,Drama",director,Alberto Marro
96,Don Juan de Serrallonga,0,1910,"Adventure,Drama",writer,Víctor Balaguer
97,Don Juan de Serrallonga,0,1910,"Adventure,Drama",cinematographer,Ramón de Baños
98,Hamlet,0,1911,Drama,actor,Axel Mattsson
99,Hamlet,0,1911,Drama,actor,Alwin Neuß
100,Hamlet,0,1911,Drama,actor,Aage Hertel
101,Hamlet,0,1911,Drama,actress,Ella La Cour
102,Hamlet,0,1911,Drama,actress,Emilie Sannom
103,Hamlet,0,1911,Drama,director,August Blom
104,Hamlet,0,1911,Drama,writer,William Shakespeare
105,Hamlet,0,1911,Drama,actor,Einar Zangenberg
106,Hamlet,0,1911,Drama,actor,Oscar Langkilde
107,Hamlet,0,1911,Drama,actor,Carl Rosenbaum
108,The White Slave Trade,0,1910,Drama,actor,Aage Lorentzen
109,The White Slave Trade,0,1910,Drama,actress,Ellen Diedrich
110,The White Slave Trade,0,1910,Drama,actor,Victor Fabian
111,The White Slave Trade,0,1910,Drama,actress,Julie Henriksen
112,The White Slave Trade,0,1910,Drama,actress,Rigmor Jerichau
113,The White Slave Trade,0,1910,Drama,director,August Blom
